,id,dt,i,c,m,p,t
293,VOD,2024-06-14T17:05:42+02:00,R93.80,90.44,3.36,3.72%,clickacompany
294,VUN,2024-06-14T17:06:29+02:00,R1.95,1.95,,,clickacompany
295,WBO,2024-06-14T16:49:55+02:00,R153.95,156.00,-2.05,-1.31%,clickacompany
296,WBC,2024-06-14T17:00:16+02:00,R25.32,25.30,0.02,0.08%,clickacompany
297,WEZ,2024-06-14T12:59:14+02:00,R0.52,0.50,0.02,4.00%,clickacompany
298,WHL,2024-06-14T17:06:29+02:00,R59.03,54.75,4.28,7.82%,clickacompany
299,WKF,2024-06-14T17:06:29+02:00,R1.40,1.40,,,clickacompany
300,YRK,2024-06-14T17:06:29+02:00,R1.69,1.69,,,clickacompany
301,YYLBEE,2024-06-14T16:02:40+02:00,R20.50,21.00,-0.50,-2.38%,clickacompany
302,ZZD,2024-06-14T17:00:29+02:00,R11.79,11.64,0.15,1.29%,clickacompany
303,ZED,2024-06-14T16:38:14+02:00,R1.80,1.74,0.06,3.45%,clickacompany
